序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
98,000001,平安银行,业绩超预期、出清历史包袱资产质量更优,买入,华金证券,1,,,,,,,银行Ⅱ,2021-04-21,https://pdf.dfcfw.com/pdf/H3_AP202104211486839366_1.pdf
99,000001,平安银行,由资产质量引发的超预期高增长！,买入,东吴证券,1,,,,,,,银行Ⅱ,2021-04-21,https://pdf.dfcfw.com/pdf/H3_AP202104211486788590_1.pdf
100,000001,平安银行,平安银行年报点评：表外理财回表，2021年轻装上阵,买入,太平洋,1,,,,,,,银行Ⅱ,2021-02-03,https://pdf.dfcfw.com/pdf/H3_AP202102031457966394_1.pdf
101,000001,平安银行,年报点评报告：资产质量持续改善 零售端持续发力,增持,万联证券,1,,,,,,,银行Ⅱ,2021-02-03,https://pdf.dfcfw.com/pdf/H3_AP202102031457943495_1.pdf
102,000001,平安银行,轻装上阵，优化内核,买入,中银证券,1,,,,,,,银行Ⅱ,2021-02-02,https://pdf.dfcfw.com/pdf/H3_AP202102021457442496_1.pdf
103,000001,平安银行,零售对公业务亮点纷呈，资产质量持续改善,买入,东兴证券,1,,,,,,,银行Ⅱ,2021-02-02,https://pdf.dfcfw.com/pdf/H3_AP202102021457442446_1.pdf
104,000001,平安银行,全年归母净利润增速转正，零售转型值得赞许,买入,华金证券,1,,,,,,,银行Ⅱ,2021-02-02,https://pdf.dfcfw.com/pdf/H3_AP202102021457422764_1.pdf
105,000001,平安银行,2020年年报点评：四季度利润强劲反弹43%，不良率降至近六年新低,买入,东吴证券,1,,,,,,,银行Ⅱ,2021-02-02,https://pdf.dfcfw.com/pdf/H3_AP202102011457266551_1.pdf
106,000001,平安银行,打造全球领先的智能化零售银行,买入,西南证券,1,,,,,,,银行Ⅱ,2021-02-01,https://pdf.dfcfw.com/pdf/H3_AP202102011456746325_1.pdf
107,000001,平安银行,积极进取的零售银行，受益于经济复苏，消费端回暖,增持,群益证券,1,,,,,,,银行Ⅱ,2020-12-28,https://pdf.dfcfw.com/pdf/H3_AP202012281444534566_1.pdf
