序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
191,000001,平安银行,一季报点评：业绩开始释放，负债压力犹存,买入,中航证券,1,,,,,,,银行Ⅱ,2018-05-03,https://pdf.dfcfw.com/pdf/H3_AP201805031135776758_1.pdf
192,000001,平安银行,2018年1季报点评：资产质量大幅改善，零售战略积极推进,增持,中银国际,1,,,,,,,银行Ⅱ,2018-04-20,https://pdf.dfcfw.com/pdf/H3_AP201804201127126709_1.pdf
193,000001,平安银行,资产质量企稳好转，存款成本上行拖累净息差,增持,东吴证券,1,,,,,,,银行,2018-04-20,https://pdf.dfcfw.com/pdf/H3_AP201804201126978203_1.pdf
194,000001,平安银行,年报点评：业绩符合预期，零售贡献显著,买入,中航证券,1,,,,,,,银行,2018-03-20,https://pdf.dfcfw.com/pdf/H3_AP201803201106866512_1.pdf
195,000001,平安银行,FY17 in line; asset quality and funding challenges persist,中性,交银国际证券,1,,,,,,,银行Ⅱ,2018-03-19,https://pdf.dfcfw.com/pdf/H3_AP201803191105954813_1.pdf
196,000001,平安银行,2017年年报点评：零售转型持续推进，关注存款改善可持续性,增持,中银国际,1,,,,,,,银行Ⅱ,2018-03-16,https://pdf.dfcfw.com/pdf/H3_AP201803160013029735_1.pdf
197,000001,平安银行,年报点评：零售转型深入，资产状况改善,买入,群益证券,1,,,,,,,银行Ⅱ,2018-03-16,https://pdf.dfcfw.com/pdf/H3_AP201803161105217821_1.pdf
198,000001,平安银行,零售业务业绩占比提升，资产质量稳中向好,增持,东吴证券,1,,,,,,,银行Ⅱ,2018-03-15,https://pdf.dfcfw.com/pdf/H3_AP201803151104308852_1.pdf
199,000001,平安银行,依托集团零售转型稳步，向上弹性待业绩拐点,,中银国际,1,,,,,,,银行Ⅱ,2018-01-14,https://pdf.dfcfw.com/pdf/H3_AP201801141077577571_1.pdf
200,000001,平安银行,科技助力转型，转化集团优势为竞争力,买入,交银国际证券,1,,,,,,,银行Ⅱ,2017-11-14,https://pdf.dfcfw.com/pdf/H3_AP201711141036116920_1.pdf
201,000001,平安银行,平安银行三季报点评：零售转型持续推进；资产质量稳定,买入,太平洋,1,,,,,,,银行Ⅱ,2017-10-24,https://pdf.dfcfw.com/pdf/H3_AP201710240974258184_1.pdf
202,000001,平安银行,三季报点评：业绩符合预期，资产状况稳定，零售转型显著,买入,群益证券,1,,,,,,,银行Ⅱ,2017-10-24,https://pdf.dfcfw.com/pdf/H3_AP201710240973520807_1.pdf
203,000001,平安银行,零售转型显成效，资负调整进行时,,中银国际,1,,,,,,,银行Ⅱ,2017-10-23,https://pdf.dfcfw.com/pdf/H3_AP201710230972169151_1.pdf
204,000001,平安银行,2017年三季报点评：零售贷款占比上升，资产质量稳定,,民生证券,1,,,,,,,银行Ⅱ,2017-10-23,https://pdf.dfcfw.com/pdf/H3_AP201710230972019764_1.pdf
205,000001,平安银行,三季报点评：零售转型成效显现，资产质量好转可期,增持,东吴证券,1,,,,,,,银行Ⅱ,2017-10-22,https://pdf.dfcfw.com/pdf/H3_AP201710220971223714_1.pdf
206,000001,平安银行,零售突破，对公做精,买入,交银国际证券,1,,,,,,,银行Ⅱ,2017-08-14,https://pdf.dfcfw.com/pdf/H3_AP201708140798987605_1.pdf
207,000001,平安银行,半年报点评：业绩增长平稳，资产品质整体可控,买入,群益证券,1,,,,,,,银行Ⅱ,2017-08-14,https://pdf.dfcfw.com/pdf/H3_AP201708140798931496_1.pdf
208,000001,平安银行,2017年中报点评：业绩表现低于预期,增持,东莞证券,1,,,,,,,银行Ⅱ,2017-08-14,https://pdf.dfcfw.com/pdf/H3_AP201708140798853161_1.pdf
209,000001,平安银行,中期业绩发布会交流纪要：零售转型启航，不良处置力度加大,增持,东吴证券,1,,,,,,,银行Ⅱ,2017-08-12,https://pdf.dfcfw.com/pdf/H3_AP201708120795472540_1.pdf
210,000001,平安银行,平安银行2017年中报点评：零售发力盈利稳定，资产质量逐步改善,,民生证券,1,,,,,,,银行Ⅱ,2017-08-11,https://pdf.dfcfw.com/pdf/H3_AP201708110791968073_1.pdf
211,000001,平安银行,平安银行半年报点评：不良率小幅上升；零售业务贡献度继续提升,买入,太平洋,1,,,,,,,银行Ⅱ,2017-08-11,https://pdf.dfcfw.com/pdf/H3_AP201708110791941879_1.pdf
212,000001,平安银行,Fundamental recovery takes time;Hold,中性,德意志银行,1,,,,,,,银行Ⅱ,2017-08-11,https://pdf.dfcfw.com/pdf/H3_AP201708110791692599_1.pdf
213,000001,平安银行,息差表现低于预期；零售业务加快发展,,国金证券,1,,,,,,,银行Ⅱ,2017-08-11,https://pdf.dfcfw.com/pdf/H3_AP201708110790844991_1.pdf
214,000001,平安银行,可转债如转股预计提升18年核心CAR约1个百分点,买入,交银国际证券,1,,,,,,,银行Ⅱ,2017-08-04,https://pdf.dfcfw.com/pdf/H3_AP201708040773271384_1.pdf
215,000001,平安银行,息差环比降幅大，不良生成速度放缓,买入,交银国际证券,1,,,,,,,银行Ⅱ,2017-05-18,https://pdf.dfcfw.com/pdf/H3_AP201705180588559083_1.pdf
216,000001,平安银行,息差受累于银行间流动性紧缩,,中银国际,1,,,,,,,银行Ⅱ,2017-04-26,https://pdf.dfcfw.com/pdf/H3_AP201704260532755926_1.pdf
217,000001,平安银行,2017年一季报点评：负债成本上升显著，不良率持平,增持,东莞证券,1,,,,,,,银行Ⅱ,2017-04-25,https://pdf.dfcfw.com/pdf/H3_AP201704250529086696_1.pdf
218,000001,平安银行,平安银行一季报点评：零售持续发力，息差受同业成本拖累,,民生证券,1,,,,,,,银行Ⅱ,2017-04-24,https://pdf.dfcfw.com/pdf/H3_AP201704240528086219_1.pdf
219,000001,平安银行,息差表现低于预期；拨备计提审慎,,国金证券,1,,,,,,,银行Ⅱ,2017-04-24,https://pdf.dfcfw.com/pdf/H3_AP201704240527485931_1.pdf
220,000001,平安银行,年报点评：营收符合预期，资产质量有改善趋势,增持,华融证券,1,,,,,,,银行Ⅱ,2017-03-22,https://pdf.dfcfw.com/pdf/H3_AP201703220428373788_1.pdf
221,000001,平安银行,零售业务核心策略不变,,中银国际,1,,,,,,,银行Ⅱ,2017-03-22,https://pdf.dfcfw.com/pdf/H3_AP201703220427468239_1.pdf
222,000001,平安银行,2016年年报点评：业绩低于预期，估值水平低于同业,增持,东莞证券,1,,,,,,,银行Ⅱ,2017-03-20,https://pdf.dfcfw.com/pdf/H3_AP201703200421759999_1.pdf
223,000001,平安银行,2017年报业绩点评：零售银行初见成效，不良加速认定,,民生证券,1,,,,,,,银行Ⅱ,2017-03-17,https://pdf.dfcfw.com/pdf/H3_AP201703170415156450_1.pdf
224,000001,平安银行,零售金融盈利贡献度大幅提升，息差环比回升,买入,交银国际证券,1,,,,,,,银行Ⅱ,2017-03-07,https://pdf.dfcfw.com/pdf/H3_AP201705190591661168_1.pdf
